"BEDEUTUNG","INFINITIV","Präsens","Präteritum","Perfekt","  "
"chocar","stoßen","stößt","stieß","hat gestoßen",""
"castigar","strafen (mit)","straft","strafte","hat gestraft",""
"suprimir","streichen","streicht","strich","hat gestrichen",""
"discutar, pelear","streiten (sich) (über)","streitet","stritt","hat gestritten",""
"tejer","stricken","strickt","strickte","hat gestrickt",""
"asaltar","stürmen","stürmt","stürmte","hat gestürmt",""
"derrocar, caer","stürzen (akk)","stürzt","stürzte","ist gestürzt",""
"soportarse, basarse","stützen (sich)","stützt","stützte","hat gestützt",""
"buscar","suchen","sucht","suchte","hat gesucht",""
"zumbar","summen","summt","summte","hat gesummt",""
"repostar","tanken","tankt","tankte","hat getankt",""
"bailar","tanzen","tanzt","tanzte","hat getanzt",""
"bucear","tauchen","taucht","tauchte","hat getaucht",""
"descongelar","tauen","taut","taute","hat getaut",""
"bautizar","taufen","tauft","taufte","hat getauft",""
"compartir, partir","teilen (sich) (durch)","teilt","teilte","hat geteilt",""
"escribir","tippen","tippt","tippte","hat getippt",""
"alborotar","toben","tobt","tobte","hat getobt",""
"matar","töten (akk)","tötet","tötete","hat getötet",""
"llevar","tragen","trägt","trug","hat getragen",""
"confiar","trauen (dat)","traut","traute","hat getraut",""
"llorar","trauern","trauert","trauerte","hat getrauert",""
"soñar, imaginar","träumen (von)","träumt","träumte","hat geträumt",""
"quedar con","treffen","trifft","traf","hat getroffen",""
"practicar (deporte)","treiben","treibt","trieb","hat getrieben",""
"separarse","trennen (sich)","trennt","trennte","hat getrennt",""
"entrar","treten","tritt","trat","ist getreten",""
"beber","trinken","trinkt","trank","hat getrunken",""
"secar","trocknen","trocknet","trocknete","hat getrocknet",""
"consolarse","trösten (sich) (mit)","tröstet","tröstete","hat getröstet",""
"hacer","tun","tut","tat","hat getan",""
"hacer gimnasia","turnen","turnt","turnte","hat geturnt",""
"ejercitar, practicar","üben","übt","übte","hat geübt",""
"considerar","überlegen (sich)","überlegt","überlegte","hat überlegt",""
"sorprender","überraschen (mit)","überrascht","überraschte","hat überrascht",""
"traducir","übersetzen (ins)","übersetzt","übersetzte","hat übersetzt",""
"transferir","übertragen","überträgt","übertrug","hat übertragen",""
"exagerar","übertreiben","übertreibt","übertrieb","hat übertrieben",""
"convencer","überzeugen (von)","überzeugt","überzeugte","hat überzeugt",""
"abrazarse","umarmen (sich)","umarmt","umarmte","hat umarmt",""
"voltearte","umdrehen (sich)","dreht um","drehte um","hat umgedreht",""
"volcar","umkippen","kippt um ","kippte um","hat umgekippt",""
"perecer","umkommen","kommt um","kam um","ist umgekommen",""
"cambiar (transporte) ","umsteigen","steigt um","stieg um","ist umgestiegen",""
"oprimir","unterdrücken","unterdrückt","unterdrückte","hat unterdrückt",""
"llevar a cabo algo","unternehmen","unternimmt","unternahm","hat unternommen",""
"despedirse","verabschieden (sich)","verabschiedet","verabschidete","hat verabschiedet",""
"prohibir","verbieten","verbietet","verbot","hat verboten",""
"estropear, arruinar","verderben","verdirbt","verdarb","hat verdorben",""
"olvidar","vergessen","vergisst","vergaß","hat vergessen",""
"arrestar","verhaften","verhaftet","verhaftete","hat verhaftet",""
"casado","verheiraten","verheiratet","verheiratete","hat verheiratet",""
"morir de hambre","verhungern","verhungert","verhungerte","ist verhungert",""
"exigir, solicitar","verlangen","verlangt","verlangte","hat verlangt",""
"herir, dañar","verletzen","verletzt","verletzte","hat verletzt",""
"perder","verlieren","verliert","verlor","hat verloren",""
"multiplicar","vermehren","vermehrt","vermehrte","hat vermehrt",""
"alquilar","vermieten","vermietet","vermietete","hat vermietet",""
"aniquilar, destruir","vernichten","vernichtet","vernichtete","hat vernichtet",""
"paliza a ","verprügeln (akk)","verprügelt","verprügelte","hat verprügelt",""
"traicionar","verraten","verrät","verriet","hat verraten",""
"olvidarse, perderse algo","versäumen","versäumt","versäumte","hat versäumt",""
"despilfarrar","verschwenden","verschwendet","verschwendete","hat verschwendet",""
"desaparecer","verschwinden","verschwindet","verschwand","ist verschwunden",""
"asegurar","versichern","versichert","versicherte","hat versichert",""
"prometer","versprechen","verspricht","versprach","hat versprochen",""
"entender","verstehen","versteht","verstand","hat verstanden",""
"defender","verteidigen","verteidigt","verteidigte","hat verteidigt",""
"tolerar, soportar","vertragen (sich)","verträgt","vertrug","hat vertragen",""
"fiarse","vertrauen (sich)","vertraut","vertraute","hat vertraut",""
"representar","vertreten","vertritt","vertrat","hat vertreten",""
"perdonar","verzeihen","verzeiht","verzieh","hat verziehen",""
"renunciar","verzichten (auf)","verzichtet","verzichtete","hat verzichtet",""
"preparar","vorbereiten","bereitet vor","bereitete vor","hat vorbereitet",""
"efectuar","vornehmen","nimmt vor","nahm vor","hat vorgenommen",""
"introducir, imaginar","vorstellen (sich)","stellt vor","stellte vor","hat vorgestellt",""
"crecer","wachsen","wächst","wuchs","ist gewachsen",""
"elegir, votar","wählen","wählt","wählte","hat gewählt",""
"pasear","wandern","wandert","wanderte","ist gewandert",""
"advertir","warnen","warnt","warnte","hat gewarnt",""
"esperar","warten","wartet","wartete","hat gewartet",""
"lavar","waschen","wäscht","wusch","hat gewaschen",""
"tejer","weben","webt","webte","hat gewebt",""
"cambiar","wechseln","wechselt","wechselte","hat gewechselt",""
"despertar, atraer","wecken","weckt","weckte","hat geweckt",""
"llorar","weinen","weint","weinte","hat geweint",""
"señalar, mostrar","weisen","weist","wies","hat gewiesen",""
"dirigirse","wenden (sich)","wendet","wandte","hat gewandt",""
"convertirse","werden","wird","wurde","ist geworden",""
"lanzar","werfen","wirft","warf","hat geworfen",""
"reflejarse","widerspiegeln (sich) (in)","spiegelt wider","spiegelte wider","hat widergespiegelt",""
"repetir","widerholen","holt wieder","holte wieder","hat wiedergeholt",""
"surgir efecto","wirken","wirkt","wirkte","hat gewirkt",""
"saber","wissen","weiß","wusste","hat gewusst",""
"residir, vivir","wohnen","wohnt","wohnte","hat gewohnt",""
"querer algo","wollen","will","wollte","hat gewollt",""
"desear","wünschen","wünscht","wünschte","hat gewünscht",""
"pagar","zahlen","zahlt","zahlte","hat gezahlt",""
"contar","zählen","zählt","zählte","hat gezählt",""
"to schow","zeigen","zeigt","zeigte","hat gezeigt",""
"desgarrar, romper","zerreißen","zerreißt","zerriss","hat zerrissen",""
"aplastar","zerschmettern","zerschmettert","zerschmetterte","hat zerschmettert",""
"destruir, arruinar","zerstören","zerstört","zerstörte","hat zerstört",""
"arrastrar, sacar","ziehen","zieht","zog","hat gezogen",""
"admitir, reconocer","zugeben","gibt zu ","gab zu","hat zugegeben",""
"prestar atención, escuchar","zuhören","hört zu","hörte zu","hat zugehört",""
"aumentar, mejorar","zunehmen","nimmt zu","nahm zu ","hat zugenommen",""
"vovler, regresar","zurückgehen","geht zurück","ging zurück","ist zurückgegangen",""
"retornar hacer algo","zurückkehren","kehrt zurück","kehrte zurück","ist zurückgekehrt",""
"retirarse","zurückziehen","zieht zurück","zog zurück","hat zurückgezogen",""
"observar concentrado","zuschauen","schaut zu","schaute zu","hat zugeschaut",""
"forzar","zwingen","zwingt","zwang ","hat gezwungen",""
